id,mass,massupper,masslower,width,widthupper,widthlower,i,g,p,c,anti,charge,rank,status,name,quarks,latex,pythia
20555,10163.7,1.4,1.4,-1.0,-1.0,-1.0,0,-1,-1,-1,0.0,0,0.0,0.0,Upsilon(2)(1D),bB,\Upsilon_{2}(1D),False
21112,1900.0,50.0,50.0,300.0,100.0,100.0,3/2,5,1,5,1.0,-1,4.0,1.0,Delta(1910)-,ddd,\Delta(1910)^{-},False
-21112,1900.0,50.0,50.0,300.0,100.0,100.0,3/2,5,-1,5,1.0,1,4.0,1.0,Delta(1910)~+,DDD,\overline{\Delta}(1910)^{+},False
21114,1920.0,50.0,50.0,300.0,60.0,60.0,3/2,5,1,5,1.0,-1,3.0,1.0,Delta(1920)-,ddd,\Delta(1920)^{-},False
-21114,1920.0,50.0,50.0,300.0,60.0,60.0,3/2,5,-1,5,1.0,1,3.0,1.0,Delta(1920)~+,DDD,\overline{\Delta}(1920)^{+},False
21212,1900.0,50.0,50.0,300.0,100.0,100.0,3/2,5,1,5,1.0,0,4.0,1.0,Delta(1910)0,udd,\Delta(1910)^{0},False
-21212,1900.0,50.0,50.0,300.0,100.0,100.0,3/2,5,-1,5,1.0,0,4.0,1.0,Delta(1910)~0,UDD,\overline{\Delta}(1910)^{0},False
21214,1720.0,80.0,70.0,200.0,100.0,100.0,1/2,5,-1,5,1.0,0,3.0,1.0,N(1700)0,udd,N(1700)^{0},False
-21214,1720.0,80.0,70.0,200.0,100.0,100.0,1/2,5,1,5,1.0,0,3.0,1.0,N(1700)~0,UDD,\overline{N}(1700)^{0},False
22112,1530.0,15.0,15.0,150.0,25.0,25.0,1/2,5,-1,5,1.0,0,4.0,0.0,N(1535)0,udd,\Delta(1910)^{0},False
-22112,1530.0,15.0,15.0,150.0,25.0,25.0,1/2,5,1,5,1.0,0,4.0,0.0,N(1535)~0,UDD,\overline{\Delta}(1910)^{0},False
22114,1920.0,50.0,50.0,300.0,60.0,60.0,3/2,5,1,5,1.0,0,3.0,1.0,Delta(1920)0,udd,\Delta(1920)^{0},False
-22114,1920.0,50.0,50.0,300.0,60.0,60.0,3/2,5,-1,5,1.0,0,3.0,1.0,Delta(1920)~0,UDD,\overline{\Delta}(1920)^{0},False
22122,1900.0,50.0,50.0,300.0,100.0,100.0,3/2,5,1,5,1.0,1,4.0,1.0,Delta(1910)+,uud,\Delta(1910)^{+},False
-22122,1900.0,50.0,50.0,300.0,100.0,100.0,3/2,5,-1,5,1.0,-1,4.0,1.0,Delta(1910)~-,UUD,\overline{\Delta}(1910)^{-},False
22124,1720.0,80.0,70.0,200.0,100.0,100.0,1/2,5,-1,5,1.0,1,3.0,1.0,N(1700)+,uud,N(1700)^{+},False
-22124,1720.0,80.0,70.0,200.0,100.0,100.0,1/2,5,1,5,1.0,-1,3.0,1.0,N(1700)~-,UUD,\overline{N}(1700)^{-},False
22212,1530.0,15.0,15.0,150.0,25.0,25.0,1/2,5,-1,5,1.0,1,4.0,0.0,N(1535)+,uud,N(1535)^{+},False
-22212,1530.0,15.0,15.0,150.0,25.0,25.0,1/2,5,1,5,1.0,-1,4.0,0.0,N(1535)~-,UUD,\overline{N}(1535)^{-},False
22214,1920.0,50.0,50.0,300.0,60.0,60.0,3/2,5,1,5,1.0,1,3.0,1.0,Delta(1920)+,uud,\Delta(1920)^{+},False
-22214,1920.0,50.0,50.0,300.0,60.0,60.0,3/2,5,-1,5,1.0,-1,3.0,1.0,Delta(1920)~-,UUD,\overline{\Delta}(1920)^{-},False
22222,1900.0,50.0,50.0,300.0,100.0,100.0,3/2,5,1,5,1.0,2,4.0,1.0,Delta(1910)++,uuu,\Delta(1910)^{++},False
-22222,1900.0,50.0,50.0,300.0,100.0,100.0,3/2,5,-1,5,1.0,-2,4.0,1.0,Delta(1910)~--,UUU,\overline{\Delta}(1910)^{--},False
22224,1920.0,50.0,50.0,300.0,60.0,60.0,3/2,5,1,5,1.0,2,3.0,1.0,Delta(1920)++,uuu,\Delta(1920)^{++},False
-22224,1920.0,50.0,50.0,300.0,60.0,60.0,3/2,5,-1,5,1.0,-2,3.0,1.0,Delta(1920)~--,UUU,\overline{\Delta}(1920)^{--},False
23112,1750.0,50.0,50.0,150.0,50.0,50.0,1,5,-1,5,1.0,-1,3.0,1.0,Sigma(1750)-,dds,\Sigma(1750)^{-},False
-23112,1750.0,50.0,50.0,150.0,50.0,50.0,1,5,1,5,1.0,1,3.0,1.0,Sigma(1750)~+,DDS,\overline{\Sigma}(1750)^{+},False
23114,1910.0,40.0,40.0,220.0,80.0,70.0,1,5,-1,5,1.0,-1,3.0,1.0,Sigma(1910)-,dds,\Sigma(1940)^{-},False
-23114,1910.0,40.0,40.0,220.0,80.0,70.0,1,5,1,5,1.0,1,3.0,1.0,Sigma(1910)~+,DDS,\overline{\Sigma}(1940)^{+},False
23122,1600.0,30.0,30.0,200.0,50.0,50.0,0,5,1,5,1.0,0,3.0,1.0,Lambda(1600),uds,\Lambda(1600),False
